"order_id","order_date","ship_date","ship_mode","customer_id","segment","postal_code","product_id","sales","quantity","discount","profit"
CA-2016-161389,"2016-12-05","2016-12-10",Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,408,3,0,133
CA-2016-121755,"2016-01-16","2016-01-20",Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,12,2,0,4
CA-2015-117415,"2015-12-27","2015-12-31",Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113,9,0,35
CA-2014-146703,"2014-10-20","2014-10-25",Second Class,PO-18865,Consumer,48185,OFF-ST-10001713,212,4,0,8
CA-2015-115742,"2015-04-18","2015-04-22",Standard Class,DP-13000,Consumer,47150,FUR-CH-10003061,90,1,0,17
CA-2016-111682,"2016-06-17","2016-06-18",First Class,TB-21055,Consumer,12180,OFF-ST-10000604,209,6,0,52
US-2015-164175,"2015-04-30","2015-05-05",Standard Class,PS-18970,Home Office,60610,FUR-CH-10001146,213,5,0,-15
US-2015-134026,"2015-04-26","2015-05-02",Standard Class,JE-15745,Consumer,38109,OFF-ST-10004123,73,1,0,-18
US-2017-118038,"2017-12-09","2017-12-11",First Class,KB-16600,Corporate,77041,OFF-ST-10000615,27,3,0,3
CA-2016-149223,"2016-09-06","2016-09-11",Standard Class,ER-13855,Corporate,55106,OFF-AP-10000358,78,6,0,23
CA-2017-146780,"2017-12-25","2017-12-30",Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,42,2,0,11
CA-2014-115259,"2014-08-25","2014-08-27",Second Class,RC-19960,Consumer,43229,OFF-EN-10002504,130,6,0,44
US-2017-107272,"2017-11-05","2017-11-12",Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2,2,1,-2
US-2016-125969,"2016-11-06","2016-11-10",Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,239,3,0,26
CA-2016-145583,"2016-10-13","2016-10-19",Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,66,6,0,18
